Id,Name,Discription,Weapon Type,Wepon subtype,Country,Manufactor,Ammo Type,Year of Creation,Years of Service,Weapon Service,Legal Status,Image Link,Sources
1,Albini-Braendlin rifle,"Single Shot, 11mm rifle. The weapon itself was designed by an Italian Neval Officer called Augusto Albini and was manufactored and perfected by a English gunsmith named,  Francis Braendlin. The weapon had extractor issues that made it eventually replaced by the M1870 Belgian Comblain in the begaining of the 1870's.",Firearm,Rifle,Belgum,Manufacture d’Armes de L’État,11x42mmR,1867,1867–1918,Temporary Service Rifle,Military Rifle,https://s3-ap-southeast-2.amazonaws.com/awm-media/collection/REL/19095/screen/3830731.JPG,https://en.wikipedia.org/wiki/Albini-Braendlin_rifle
2,Atchisson AA-12,"An iconic shotgun known to be one the first if not the first fully automatic 12 gauge shotgun. The weapon became popular by 2 very famous games, Call of Duty Modern Warfare 2 and Call of Duty Modern Warfare 3.",Firearm,Shotgun,United States,Max Atchisson,12 Gauge,1972,2005-2019,Combat shotgun,Civilien and Military Use,https://upload.wikimedia.org/wikipedia/commons/7/75/AA-12.jpg,https://en.wikipedia.org/wiki/Atchisson_AA-12#cite_note-1
3,AG-043,"A Soviet rifle representing Simonov's adaptation of the AK-47,  inspired by the US XM177 carbine used in Vietnam. Manufactured  in 1975 under Soviet weapons development. Very limited information  available; most historical records are in Russian.A Soviet rifle representing Simonov's adaptation of the AK-47,  inspired by the US XM177 carbine used in Vietnam. Manufactured in 1975 under Soviet weapons development. Very limited information  available; most historical records are in Russian.",Firearm,Rifle,Soviet Union,National Factory - USSR,5.45x39mm,1975,Unkown,Assault Rifle,Experimental/Prototype,https://upload.wikimedia.org/wikipedia/commons/e/ec/AG-043_assault_rifle.jpg,https://tvd.im/small-arms/5273-simonov-ag043.html
4,AEK-971,"The AEK-971 was created during ""Project Abakan."" It was inspired  heavily by the Kalashnikov Assault Rifles but featured an additional system called the Balanced Automatic Recoil System (BARS) which reduces recoil. Adopted by Soviet/Russian forces.",Firearm,Rifle,Soviet Union,Degtyarev plant,5.45×39mm,1978,1980–present,Assault Rifle,Military Rifle,https://static.wikia.nocookie.net/guns/images/a/ab/AEK-971.jpg/revision/latest/scale-to-width-down/1000?cb=20160903113337,https://guns.fandom.com/wiki/AEK-971#Construction
5,AK-9,"A modernized version of the AK-47. Instead of the having the heavy weight of the AK-47 has, the AK-9 was created with lightweight plastic and also utilizing subsonic rounds. making this weapon a suppressed weapon.",Firearm,Rifle,Russia,Izhmash (Kalashnikov) - Russia,9x39mm Subsonic,Early 2000's,2007-present,Assault Rifle,Military Rifle,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/AK-9_Assault_rifle.jpg/1920px-AK-9_Assault_rifle.jpg,https://tvd.im/small-arms/5222-izhmash-ak9.html
6,AK-12,A weapon that was very popular for being one of the newist guns coming from Kalashikov Concern. The AK-12 was originally made to participate in the Ratnik Trials. These Trials are done to see which guns are going to be used in the Russian Military.,Firearm,Rifle,Russia,Izhmash (now Kalashnikov Concern),5.45×39mm,2018,2018-present,Assault Rifle,Military Rifle,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/AK-12.png/1920px-AK-12.png,https://en.wikipedia.org/wiki/AK-12#Variants
7,AK-47,"The AK-47 was designed by Mikhail Kalashnikov in 1947-1948, shortly after World War II. The design was heavily inspired by the German STG-44. It became one of the most widely produced and distributed assault rifles in history, manufactured by the Soviet Union and numerous countries including Norinco.",Firearm,Rifle,Soviet Union,Kalashnikov Concern and various others including Norinco,7.62×39mm,1948,1949–present,Assault Rifle,Military Rifle,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/AK-47_type_II_noBG.png/1920px-AK-47_type_II_noBG.png,https://en.wikipedia.org/wiki/AK-47
8,AK-74,"The AK-74 was designed by Mikhail Kalashnikov as the successor to the AKM. It introduced the new 5.45×39mm cartridge, which offered improved ballistics and reduced recoil compared to the 7.62×39mm. The AK-74 first saw combat in 1979 during the Soviet-Afghan War and became the standard rifle for Soviet and Russian forces.",Firearm,Rifle,Soviet Union,"Kalashnikov Concern
(formerly Izhmash)",5.45×39mm,1974,1979-present,Assault Rifle,Military Rifle,https://upload.wikimedia.org/wikipedia/commons/2/20/Ak74l.png,https://en.wikipedia.org/wiki/AK-74#Variants
9,AKM,"The AKM is an improved and modernized version of the AK-47, designed in 1959. It featured simplified manufacturing, improved reliability, and maintained the same 7.62×39mm caliber. While the Soviet Union replaced it with the AK-74 in the 1970s, the AKM remains in use by many countries worldwide.",Firearm,Rifle,Soviet Union,Izhmash,7.62×39mm,1959,1959-present,Assault Rifle,Military Rifle,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/AKM_automatkarbin_Ryssland_-_7%2C62x39mm_-_Arm%C3%A9museum_bothsides_noBG.png/960px-AKM_automatkarbin_Ryssland_-_7%2C62x39mm_-_Arm%C3%A9museum_bothsides_noBG.png,https://en.wikipedia.org/wiki/AKM
10,AK-101,"The AK-101 is part of the AK-100 family of rifles, which were designed specifically for export rather than domestic Russian use. To increase compatibility with NATO allies and international markets, the AK-101 is chambered in 5.56×45mm NATO rather than the standard Russian 7.62×39mm caliber.",Firearm,Rifle,Russia,Kalashnikov Concern,5.56×45mm NATO,1995,1995-present,Assault Rifle,Military Rifle,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/%D0%90%D0%9A-101.jpg/960px-%D0%90%D0%9A-101.jpg,https://en.wikipedia.org/wiki/AK-101
